Year,Total energy consumption,Total energy consumption from coal,Total energy consumption from natural gas,Total energy consumption from petroleum and other liquids,"Total energy consumption from nuclear, renewables, and other",Total energy consumption from nuclear,Total energy consumption from renewables and other
1991,14.853,5.015,2.479,5.831,1.528,1.429,0.099
1992,14.553,4.573,2.446,5.872,1.661,1.54,0.121
1993,14.457,4.272,2.533,5.994,1.658,1.488,0.17
1994,14.276,4.024,2.654,5.938,1.66,1.461,0.199
1995,14.564,3.878,3.057,5.924,1.705,1.463,0.241
1996,14.778,3.916,3.062,6.037,1.763,1.529,0.234
1997,14.575,3.772,2.934,6.01,1.86,1.628,0.232
1998,14.509,3.595,3.049,6.025,1.84,1.545,0.295
1999,14.205,3.374,3.079,5.842,1.91,1.625,0.285
2000,14.185,3.413,3.042,5.72,2.009,1.621,0.388
2001,14.449,3.386,3.181,5.796,2.085,1.637,0.447
2002,14.202,3.391,3.174,5.597,2.04,1.576,0.465
2003,14.185,3.484,3.215,5.534,1.954,1.576,0.378
2004,14.192,3.473,3.237,5.484,1.998,1.595,0.403
2005,13.976,3.306,3.267,5.422,1.981,1.549,0.432
2006,14.208,3.359,3.335,5.449,2.065,1.59,0.475
2007,13.579,3.499,3.199,4.967,1.915,1.335,0.58
2008,13.85,3.256,3.334,5.248,2.011,1.412,0.599
2009,13.017,3.008,3.1,5.026,1.883,1.28,0.603
2010,13.695,3.148,3.422,5.094,2.032,1.333,0.699
2011,13,3.151,3.103,4.937,1.808,1.007,0.801
2012,13.096,3.288,3.107,4.948,1.753,0.928,0.826
2013,13.294,3.341,3.182,5.026,1.745,0.907,0.838
2014,12.792,3.217,2.878,4.907,1.79,0.904,0.886
2015,12.836,3.217,2.961,4.891,1.766,0.858,0.909
2016,12.931,3.126,3.201,4.931,1.671,0.791,0.88
2017,13.252,3.145,3.398,5.038,1.671,0.715,0.956
2018,12.839,2.992,3.387,4.771,1.688,0.712,0.977
2019,12.325,2.243,3.484,4.822,1.775,0.709,1.065
2020,11.129,1.783,3.187,4.416,1.743,0.609,1.134
2021,11.834,2.14,3.345,4.582,1.767,0.666,1.101
2022,11.093,2.331,2.822,4.469,1.471,0.325,1.146
