Year,Coal and coke CO2 emissions,Petroleum and other liquids CO2 emissions,CO2 emissions,Consumed natural gas CO2 emissions
1991,478,383,993,132
1992,439,385,953,130
1993,412,390,937,134
1994,389,381,911,141
1995,377,382,922,162
1996,383,391,937,162
1997,369,382,907,156
1998,357,382,900,162
1999,335,369,867,163
2000,345,366,872,161
2001,346,373,888,169
2002,344,360,873,168
2003,350,354,874,171
2004,346,348,866,172
2005,328,343,844,173
2006,336,346,859,177
2007,349,313,832,170
2008,325,335,837,177
2009,296,321,782,164
2010,315,325,822,182
2011,313,316,793,165
2012,325,317,807,165
2013,330,323,822,169
2014,319,312,784,153
2015,317,314,788,157
2016,305,314,789,170
2017,305,320,805,180
2018,291,311,782,180
2019,219,317,721,185
2020,174,288,631,169
2021,211,287,675,177
2022,228,291,668,150
