date,Population,GDP per capita,Energy intensity,Carbon intensity,Emissions (F),r_Population,r_GDP per capita,r_Energy intensity,r_Emissions (F),r_F,growth_rate_equal
1991,79891.0,0.03546832559362131,0.17327780914737437,2.0224032586558045,993.0,,,,,,True
1992,80287.0,0.03585761082117902,0.16881447775191913,1.9609053497942386,953.0,0.004956753576748296,0.010975573868863941,-0.025758240004403188,-0.040281973816717054,-0.04023424413082399,False
1993,80810.0,0.03527162479891103,0.16735080517840226,1.9643605870020964,937.0,0.006514130556628084,-0.016342026388492137,-0.00867030241131217,-0.016789087093389332,-0.016736136036440863,False
1994,81085.0,0.03608682247024727,0.16233211441850928,1.9178947368421053,911.0,0.0034030441777008757,0.02311199656902141,-0.029989044597322767,-0.02774813233724649,-0.02712844411347748,False
1995,81238.0,0.03658878849799355,0.16249495357287042,1.9089026915113871,922.0,0.0018869087994080047,0.013909953644717366,0.0010031234727918559,0.01207464324917673,0.012111488077080623,False
1996,81414.0,0.03689660254992999,0.16278837511235394,1.9161554192229038,937.0,0.0021664738176714327,0.008412797049930143,0.0018057270889457744,0.01626898047722336,0.01618442039110546,False
1997,81508.0,0.037568091475683366,0.16100062048920677,1.8397565922920893,907.0,0.0011545925762153075,0.01819920749734849,-0.010982077939615142,-0.03201707577374602,-0.03149917046921924,False
1998,81476.0,0.03828980313221071,0.15931019008237973,1.8108651911468814,900.0,-0.00039259949943559747,0.01921076179753478,-0.010499527279401732,-0.007717750826901848,-0.007385290851851023,False
1999,81417.0,0.03908029035705074,0.156200892576529,1.744466800804829,867.0,-0.000724139623938358,0.020644849546772592,-0.019517254384310956,-0.036666666666666625,-0.03626321112814346,False
2000,81447.0,0.040280182204378304,0.16185570152711312,1.6421845574387948,872.0,0.00036847341464318895,0.03070324801491875,0.03620215516895087,0.005767012687427853,0.008641494876576283,False
2001,81488.0,0.0409655409385431,0.16236295009286442,1.6383763837638377,888.0,0.0005033948457278115,0.017014787338531345,0.0031339554984186613,0.0183486238532109,0.018333169538867877,False
2002,81562.0,0.040851131654446926,0.16627149674359976,1.575812274368231,873.0,0.000908109169448279,-0.0027928176090195045,0.024072897471373977,-0.016891891891891886,-0.015998463324524703,False
2003,81568.0,0.040624999999999994,0.1695989377433081,1.5551601423487544,874.0,7.356366935584724e-05,-0.005535505267265095,0.020012095066657354,0.001145475372279492,0.0014444476969381892,False
2004,81494.0,0.040947799838024886,0.17051243632004795,1.5219683655536027,866.0,-0.0009072185170655445,0.007945842166766637,0.005386228173919649,-0.009153318077803174,-0.008918144239165593,False
2005,81383.0,0.041434943415701066,0.1684410308116604,1.4859154929577465,844.0,-0.0013620634647949492,0.011896697248769073,-0.012148119826870363,-0.025404157043879882,-0.025301805335092742,False
2006,81240.0,0.04318562284588873,0.1633223121650895,1.4991273996509598,859.0,-0.001757123723627796,0.042251280824104454,-0.030388787232573433,0.017772511848341166,0.01899679522542108,False
2007,81058.0,0.04457672284043525,0.15941106467771843,1.4444444444444444,832.0,-0.0022402757262431905,0.03221210909729777,-0.023948029118137315,-0.03143189755529685,-0.03045271883594569,False
2008,80857.0,0.04497569783692197,0.15756475829071112,1.4607329842931938,837.0,-0.0024797058896098845,0.008950298969147452,-0.011582046646134603,0.006009615384615419,0.006165227867152456,False
2009,80586.0,0.0426463653736381,0.15770943055838452,1.4428044280442804,782.0,-0.0033515960275548595,-0.05179091321117091,0.0009181765595480673,-0.06571087216248506,-0.06649800380298576,False
2010,80320.0,0.04450323705179283,0.15834382431109245,1.452296819787986,822.0,-0.00330082148263966,0.043541147337788244,0.004022547988803193,0.051150895140664954,0.050841999579358865,False
2011,80288.0,0.046228577122359504,0.15033947623666344,1.4211469534050178,793.0,-0.00039840637450194727,0.038768866825546366,-0.05055042790114228,-0.035279805352798066,-0.03362865890114408,False
2012,80450.0,0.04643629583592294,0.14883023716473043,1.4514388489208634,807.0,0.0020177361498605606,0.004493296711547856,-0.0100388740849221,0.017654476670870167,0.017787263061280645,False
2013,80676.0,0.04654172244533691,0.14781080217321826,1.481081081081081,822.0,0.002809198259788648,0.0022703492497868627,-0.006849649714552375,0.018587360594795488,0.018652550931430922,False
2014,81036.0,0.04733822005034799,0.14155001173066395,1.4438305709023942,784.0,0.004462293618920032,0.017113625434610036,-0.04235678550216748,-0.04622871046228716,-0.04593175835760477,False
2015,81809.0,0.04754978058648804,0.14087403598971723,1.437956204379562,788.0,0.009538970334172392,0.004469127396742767,-0.00477552585606944,0.005102040816326481,0.005163973632628993,False
2016,82392.0,0.04825832605107292,0.13857800357133876,1.4319419237749547,789.0,0.0071263552909826,0.01490113005455651,-0.01629847829834352,0.0012690355329949554,0.0015464870328240066,False
2017,82691.0,0.04952896929532839,0.13477878699091708,1.4583333333333333,805.0,0.0036289931061268543,0.02633003148328683,-0.027415726035235233,0.020278833967046994,0.02097380130027049,False
2018,82934.0,0.04994332842983577,0.13085465958474168,1.4428044280442804,782.0,0.002938651122855074,0.008365995505310586,-0.029115319211470925,-0.02857142857142858,-0.028459064781512944,False
2019,83111.0,0.05034953255285101,0.12593796300721694,1.3681214421252372,721.0,0.0021342272168229925,0.008133300999069393,-0.037573721815696515,-0.07800511508951402,-0.07906857002962697,False
2020,83159.0,0.04807657619740497,0.12606303151575787,1.251984126984127,631.0,0.0005775408790653636,-0.04514354434294221,0.0009930961685775674,-0.12482662968099856,-0.12846106967999427,False
2021,83206.0,0.04979088046535105,0.12599869656520796,1.293103448275862,675.0,0.0005651823615002716,0.03565778604755576,-0.000510339548211447,0.06973058637083995,0.06855595363269018,False
2022,83938.0,0.05007028997593462,0.1206338631388598,1.3175542406311638,668.0,0.008797442492127994,0.005611660367765614,-0.042578483528769584,-0.010370370370370363,-0.009260767914109347,False
2023,84532.0,0.04968769223489329,0.10999476215418313,,,0.007076651814434509,-0.007641212807539599,-0.08819332074634934,0.0,-0.08875788173945443,False
