sector,year,share
Coal and coke CO2 emissions,1991,42.75491949910555
Coal and coke CO2 emissions,1992,38.10763888888889
Coal and coke CO2 emissions,1993,35.30419880034275
Coal and coke CO2 emissions,1994,36.97718631178707
Coal and coke CO2 emissions,1995,35.66698202459792
Coal and coke CO2 emissions,1996,42.36725663716815
Coal and coke CO2 emissions,1997,35.54913294797688
Coal and coke CO2 emissions,1998,33.838862559241704
Coal and coke CO2 emissions,1999,33.36653386454183
Coal and coke CO2 emissions,2000,38.89515219842165
Coal and coke CO2 emissions,2001,39.09604519774012
Coal and coke CO2 emissions,2002,37.595628415300546
Coal and coke CO2 emissions,2003,39.10614525139665
Coal and coke CO2 emissions,2004,37.52711496746204
Coal and coke CO2 emissions,2005,33.84932920536636
Coal and coke CO2 emissions,2006,32.97350343473994
Coal and coke CO2 emissions,2007,32.46511627906977
Coal and coke CO2 emissions,2008,28.837622005323873
Coal and coke CO2 emissions,2009,26.738934056007224
Coal and coke CO2 emissions,2010,27.486910994764397
Coal and coke CO2 emissions,2011,27.264808362369337
Coal and coke CO2 emissions,2012,28.659611992945326
Coal and coke CO2 emissions,2013,30.66914498141264
Coal and coke CO2 emissions,2014,28.456735057983945
Coal and coke CO2 emissions,2015,26.285240464344945
Coal and coke CO2 emissions,2016,25.738396624472575
Coal and coke CO2 emissions,2017,25.825571549534292
Coal and coke CO2 emissions,2018,22.985781990521325
Coal and coke CO2 emissions,2019,16.846153846153847
Coal and coke CO2 emissions,2020,13.405238828967642
Coal and coke CO2 emissions,2021,14.964539007092197
Coal and coke CO2 emissions,2022,3.042433947157726
Petroleum and other liquids CO2 emissions,1991,46.707317073170735
Petroleum and other liquids CO2 emissions,1992,41.93899782135077
Petroleum and other liquids CO2 emissions,1993,39.39393939393939
Petroleum and other liquids CO2 emissions,1994,37.170731707317074
Petroleum and other liquids CO2 emissions,1995,35.86854460093897
Petroleum and other liquids CO2 emissions,1996,36.17021276595745
Petroleum and other liquids CO2 emissions,1997,32.51063829787234
Petroleum and other liquids CO2 emissions,1998,31.362889983579638
Petroleum and other liquids CO2 emissions,1999,30.295566502463057
Petroleum and other liquids CO2 emissions,2000,29.14012738853503
Petroleum and other liquids CO2 emissions,2001,28.538638102524867
Petroleum and other liquids CO2 emissions,2002,26.686434395848778
Petroleum and other liquids CO2 emissions,2003,25.858290723155587
Petroleum and other liquids CO2 emissions,2004,24.47257383966245
Petroleum and other liquids CO2 emissions,2005,23.50925291295408
Petroleum and other liquids CO2 emissions,2006,23.1438127090301
Petroleum and other liquids CO2 emissions,2007,20.07697241821681
Petroleum and other liquids CO2 emissions,2008,20.489296636085626
Petroleum and other liquids CO2 emissions,2009,18.871252204585538
Petroleum and other liquids CO2 emissions,2010,17.955801104972377
Petroleum and other liquids CO2 emissions,2011,16.622830089426618
Petroleum and other liquids CO2 emissions,2012,15.985879979828542
Petroleum and other liquids CO2 emissions,2013,15.710116731517509
Petroleum and other liquids CO2 emissions,2014,14.060387561964848
Petroleum and other liquids CO2 emissions,2015,13.418803418803419
Petroleum and other liquids CO2 emissions,2016,14.011601963409193
Petroleum and other liquids CO2 emissions,2017,14.532243415077204
Petroleum and other liquids CO2 emissions,2018,13.150105708245244
