date,Population,GDP per capita,Energy intensity,Carbon intensity,Emissions (F),Population Growth Rate (%),GDP per capita Growth Rate (%),Energy intensity Growth Rate (%),Carbon intensity Growth Rate (%),Emissions (F) Growth Rate (%)
1992,80287.0,0.03585761082117902,0.16881447775191913,1.9609053497942386,953.0,0.49567535767483195,1.0975573868864048,-2.575824000440319,-3.04083315720331,-4.028197381671702
1993,80810.0,0.03527162479891103,0.16735080517840226,1.9643605870020964,937.0,0.6514130556628097,-1.6342026388492163,-0.8670302411312187,0.17620622067354505,-1.6789087093389297
1994,81085.0,0.03608682247024727,0.16233211441850928,1.9178947368421053,911.0,0.34030441777007797,2.3111996569021356,-2.9989044597322736,-2.3654440262876983,-2.774813233724653
1995,81238.0,0.03658878849799355,0.16249495357287042,1.9089026915113871,922.0,0.18869087994080286,1.390995364471735,0.10031234727918127,-0.4688497839836592,1.2074643249176729
1996,81414.0,0.03689660254992999,0.16278837511235394,1.9161554192229038,937.0,0.21664738176715329,0.8412797049930134,0.18057270889458438,0.3799422434558065,1.6268980477223427
1997,81508.0,0.037568091475683366,0.16100062048920677,1.8397565922920893,907.0,0.1154592576215393,1.8199207497348526,-1.0982077939615131,-3.9870892603167847,-3.2017075773745995
1998,81476.0,0.03828980313221071,0.15931019008237973,1.8108651911468814,900.0,-0.03925994994356383,1.9210761797534681,-1.0499527279401764,-1.5703925870548525,-0.7717750826901874
1999,81417.0,0.03908029035705074,0.156200892576529,1.744466800804829,867.0,-0.07241396239383377,2.0644849546772486,-1.951725438431093,-3.6666666666666723,-3.6666666666666665
2000,81447.0,0.040280182204378304,0.16185570152711312,1.6421845574387948,872.0,0.03684734146431335,3.070324801491868,3.620215516895083,-5.863238172193656,0.5767012687427913
2001,81488.0,0.0409655409385431,0.16236295009286442,1.6383763837638377,888.0,0.05033948457278967,1.7014787338531443,0.3133955498418593,-0.23189681438098952,1.834862385321101
2002,81562.0,0.040851131654446926,0.16627149674359976,1.575812274368231,873.0,0.09081091694482624,-0.27928176090195156,2.4072897471374004,-3.8186652356327477,-1.6891891891891893
2003,81568.0,0.040624999999999994,0.1695989377433081,1.5551601423487544,874.0,0.007356366935582746,-0.5535505267265115,2.0012095066657376,-1.310570577180988,0.11454753722794961
2004,81494.0,0.040947799838024886,0.17051243632004795,1.5219683655536027,866.0,-0.09072185170655159,0.7945842166766551,0.5386228173919723,-2.1342996062786352,-0.9153318077803204
2005,81383.0,0.041434943415701066,0.1684410308116604,1.4859154929577465,844.0,-0.13620634647949542,1.189669724876914,-1.214811982687041,-2.368831929219652,-2.5404157043879905
2006,81240.0,0.04318562284588873,0.1633223121650895,1.4991273996509598,859.0,-0.17571237236277845,4.22512808241044,-3.0388787232573486,0.8891425357517928,1.7772511848341233
2007,81058.0,0.04457672284043525,0.15941106467771843,1.4444444444444444,832.0,-0.224027572624323,3.2212109097297743,-2.394802911813726,-3.647652308886297,-3.143189755529686
2008,80857.0,0.04497569783692197,0.15756475829071112,1.4607329842931938,837.0,-0.2479705889609909,0.8950298969147532,-1.1582046646134554,1.1276681433749542,0.6009615384615385
2009,80586.0,0.0426463653736381,0.15770943055838452,1.4428044280442804,782.0,-0.3351596027554819,-5.179091321117091,0.09181765595481171,-1.227367112380804,-6.5710872162485074
2010,80320.0,0.04450323705179283,0.15834382431109245,1.452296819787986,822.0,-0.3300821482639665,4.354114733778831,0.40225479888032445,0.6579125735407158,5.115089514066496
2011,80288.0,0.046228577122359504,0.15033947623666344,1.4211469534050178,793.0,-0.0398406374501992,3.8768866825546353,-5.055042790114224,-2.144869145104618,-3.5279805352798053
2012,80450.0,0.04643629583592294,0.14883023716473043,1.4514388489208634,807.0,0.2017736149860502,0.44932967115478284,-1.0038874084922154,2.1315104284794217,1.7654476670870116
2013,80676.0,0.04654172244533691,0.14781080217321826,1.481081081081081,822.0,0.28091982597886883,0.22703492497868835,-0.6849649714552413,2.0422653136407707,1.858736059479554
2014,81036.0,0.04733822005034799,0.14155001173066395,1.4438305709023942,784.0,0.4462293618920125,1.7113625434610134,-4.235678550216747,-2.5150891908967403,-4.622871046228711
2015,81809.0,0.04754978058648804,0.14087403598971723,1.437956204379562,788.0,0.9538970334172466,0.4469127396742779,-0.47755258560694236,-0.4068598242216719,0.5102040816326531
2016,82392.0,0.04825832605107292,0.13857800357133876,1.4319419237749547,789.0,0.7126355290982654,1.4901130054556464,-1.6298478298343546,-0.41825200143715685,0.12690355329949238
2017,82691.0,0.04952896929532839,0.13477878699091708,1.4583333333333333,805.0,0.3628993106126808,2.633003148328685,-2.741572603523526,1.8430502746092023,2.027883396704689
2018,82934.0,0.04994332842983577,0.13085465958474168,1.4428044280442804,782.0,0.2938651122854966,0.8365995505310528,-2.9115319211470947,-1.0648392198207648,-2.857142857142857
2019,83111.0,0.05034953255285101,0.12593796300721694,1.3681214421252372,721.0,0.21342272168230159,0.8133300999069454,-3.7573721815696506,-5.1762376429822785,-7.8005115089514065
2020,83159.0,0.04807657619740497,0.12606303151575787,1.251984126984127,631.0,0.057754087906534635,-4.5143544342942175,0.0993096168577623,-8.488816238469502,-12.482662968099861
2021,83206.0,0.04979088046535105,0.12599869656520796,1.293103448275862,675.0,0.05651823615002585,3.5657786047555833,-0.05103395482114352,3.2843324771845483,6.9730586370839935
2022,83938.0,0.05007028997593462,0.1206338631388598,1.3175542406311638,668.0,0.8797442492127971,0.5611660367765697,-4.257848352876964,1.890861275476663,-1.037037037037037
