year,total energy consumption from coal share,total energy consumption from natural gas share,total energy consumption from nuclear share,total energy consumption from petroleum and other liquids share,total energy consumption from renewables and other share
1991,33.764222715949636,16.690230929778497,9.620951996229717,39.25806234430755,0.6665320137345991
1992,31.42307428021714,16.80753109324538,10.582010582010582,40.34906892049749,0.8314436885865457
1993,29.54969910769869,17.520924119803556,10.29259182402988,41.46088400083004,1.1759009476378226
1994,28.187167273746148,18.590641636312693,10.233959092182685,41.59428411319697,1.3939478845615019
1995,26.62730019225488,20.990112606426806,10.045317220543808,40.67563856083494,1.6547651744026366
1996,26.498849641358774,20.71998917309514,10.346460955474353,40.85126539450534,1.5834348355663825
1997,25.879931389365353,20.130360205831906,11.169811320754716,41.23499142367067,1.5917667238421955
1998,24.77772417120408,21.01454269763595,10.648562960920808,41.525949410710595,2.0332207595285685
1999,23.752199929602252,21.67546638507568,11.439633931714186,41.126363956353394,2.0063357972544877
2000,24.06062742333451,21.445188579485368,11.427564328516038,40.324286217835734,2.7352837504406065
2001,23.434147691881794,22.015364385078552,11.329503771887328,40.11350266454426,3.0936396982490137
2002,23.876918743838896,22.348964934516268,11.097028587522885,39.40994226165329,3.27418673426278
2003,24.561156150863585,22.66478674656327,11.11032781106803,39.013041945717305,2.6647867465632706
2004,24.471533258173615,22.808624577226606,11.238726042841037,38.641488162344984,2.8396279594137543
2005,23.654836863194046,23.37578706353749,11.083285632512878,38.795077275329135,3.091013165426445
2006,23.64161036036036,23.47269144144144,11.190878378378379,38.35163288288288,3.3431869369369362
2007,25.767729582443476,23.5584358200162,9.831357242801383,36.578540393254286,4.27130127402607
2008,23.509025270758123,24.072202166064983,10.194945848375452,37.89169675090253,4.324909747292419
2009,23.108243066758856,23.815011139279406,9.833294922025045,38.61104709226396,4.632403779672735
2010,22.98649142022636,24.98722161372764,9.733479372033589,37.1960569550931,5.104052573932091
2011,24.238461538461536,23.86923076923077,7.746153846153845,37.97692307692308,6.161538461538462
2012,25.106902871105678,23.72480146609652,7.08613317043372,37.78252901649359,6.307269395235187
2013,25.131638333082595,23.935610049646456,6.822626748909283,37.80652926132089,6.30359560704077
2014,25.148530331457163,22.49843652282677,7.066916823014384,38.3599124452783,6.92620387742339
2015,25.062324711748207,23.067933935805545,6.684325334995325,38.10377064506076,7.0816453723901525
2016,24.174464465238575,24.75446601190937,6.117082978887945,38.133168355115615,6.805351480937283
2017,23.732266827648658,25.64141261696348,5.395412013281014,38.016903108964684,7.214005433142166
2018,23.303995638289585,26.38055923358517,5.545603240127735,37.160214970013236,7.609626917984266
2019,18.198782961460445,28.267748478701826,5.752535496957404,39.1237322515213,8.640973630831644
2020,16.021205858567704,28.63689459969449,5.472189774463114,39.680115014826136,10.189594752448556
2021,18.083488254182864,28.266013182355927,5.627851952002705,38.718945411526114,9.303701199932398
2022,21.013251600108177,25.439466330118094,2.9297755341206164,40.286667267646266,10.33083926800685
