id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ARM,98.9,80.1,0.6,7.2
ARM,100.0,82.7,0.62,5.4
ARM,98.0,85.3,0.58,8.9
ARM,99.11,87.4,0.65,9.8
ARM,99.09,89.2,0.64,8.7
ARM,99.8,90.8,0.72,6.5
ARM,99.11,92.1,0.77,7.7
ARM,99.15,93.3,0.9,7.0
ARM,99.21,94.2,0.95,6.4
ARM,99.28,95.0,0.8,7.8
ARM,99.8,95.6,0.68,9.4
ARM,99.5,96.1,0.69,8.0
ARM,99.54,96.5,0.74,6.6
ARM,99.42,96.9,0.74,6.8
ARM,99.71,97.3,0.74,7.1
ARM,100.0,97.4,0.72,10.7
ARM,99.8,97.7,0.73,13.2
ARM,99.7,97.9,0.74,12.6
ARM,99.9,98.0,0.77,11.1
ARM,100.0,98.1,0.84,10.3
ARM,100.0,98.2,0.89,8.4
ARM,100.0,98.4,0.91,
ARM,,,0.73,
ARM,,,,
ARM,,,,
