id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BEL,100.0,100.0,1.59,1.4
BEL,100.0,100.0,1.66,1.6
BEL,100.0,100.0,1.62,1.7
BEL,100.0,100.0,1.59,1.9
BEL,100.0,100.0,1.61,2.0
BEL,100.0,100.0,1.54,2.4
BEL,100.0,100.0,1.54,2.9
BEL,100.0,100.0,1.44,3.4
BEL,100.0,100.0,1.5,4.0
BEL,100.0,100.0,1.24,4.9
BEL,100.0,100.0,1.27,6.2
BEL,100.0,100.0,1.22,6.7
BEL,100.0,100.0,1.29,7.7
BEL,100.0,100.0,1.3,8.3
BEL,100.0,100.0,1.41,9.1
BEL,100.0,100.0,1.52,9.4
BEL,100.0,100.0,1.19,9.2
BEL,100.0,100.0,1.17,9.7
BEL,100.0,100.0,1.36,10.7
BEL,100.0,100.0,1.08,10.2
BEL,100.0,100.0,1.05,12.3
BEL,100.0,100.0,0.98,
BEL,,,0.99,
BEL,,,,
BEL,,,,
