id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BGR,88.09,,1.15,8.0
BGR,88.61,,1.17,7.2
BGR,89.11,,1.1,8.7
BGR,89.61,,1.24,9.2
BGR,90.12,,1.24,9.6
BGR,90.64,,1.19,9.8
BGR,91.18,,1.18,10.0
BGR,91.74,,1.33,8.9
BGR,92.32,,1.25,9.9
BGR,92.91,,1.12,11.6
BGR,93.51,,1.07,14.3
BGR,94.12,,1.09,13.2
BGR,94.73,,1.07,15.6
BGR,95.33,,1.02,18.2
BGR,95.94,,0.99,17.1
BGR,96.59,,1.01,17.9
BGR,97.34,,1.05,17.7
BGR,98.07,,1.08,17.1
BGR,98.7,,0.96,19.6
BGR,99.2,,0.99,19.3
BGR,99.7,,0.93,21.1
BGR,99.8,,0.91,
BGR,,,0.92,
BGR,,,,
BGR,,,,
