id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CHE,100.0,100.0,0.71,18.2
CHE,100.0,100.0,0.68,18.7
CHE,100.0,100.0,0.72,18.2
CHE,100.0,100.0,0.74,18.0
CHE,100.0,100.0,0.77,18.1
CHE,100.0,100.0,0.86,18.7
CHE,100.0,100.0,0.79,18.1
CHE,100.0,100.0,0.71,19.3
CHE,100.0,100.0,0.72,19.5
CHE,100.0,100.0,0.71,20.0
CHE,100.0,100.0,0.73,20.6
CHE,100.0,100.0,0.7,20.6
CHE,100.0,100.0,0.67,21.9
CHE,100.0,100.0,0.67,21.8
CHE,100.0,100.0,0.6,22.2
CHE,100.0,100.0,0.63,23.9
CHE,100.0,100.0,0.69,24.1
CHE,100.0,100.0,0.69,25.0
CHE,100.0,100.0,0.6,24.2
CHE,100.0,100.0,0.56,24.8
CHE,100.0,100.0,0.52,26.4
CHE,100.0,100.0,0.59,
CHE,,,0.6,
CHE,,,,
CHE,,,,
