id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CHL,97.94,100.0,1.42,31.4
CHL,97.13,100.0,1.25,32.1
CHL,97.27,100.0,1.26,33.1
CHL,98.78,100.0,1.18,31.6
CHL,97.53,100.0,1.16,31.4
CHL,97.68,100.0,1.17,32.3
CHL,99.37,100.0,1.16,32.9
CHL,98.04,100.0,1.21,30.5
CHL,98.25,100.0,1.19,30.8
CHL,99.59,100.0,1.09,31.5
CHL,99.53,100.0,1.18,27.0
CHL,99.59,100.0,1.19,28.8
CHL,100.0,100.0,1.14,30.3
CHL,99.6,100.0,1.12,30.2
CHL,100.0,100.0,1.11,26.9
CHL,99.72,100.0,1.09,25.1
CHL,100.0,100.0,1.07,24.6
CHL,99.7,100.0,1.07,24.1
CHL,100.0,100.0,1.03,25.5
CHL,100.0,100.0,1.1,25.3
CHL,100.0,100.0,0.96,26.7
CHL,100.0,100.0,1.01,
CHL,,,0.93,
CHL,,,,
CHL,,,,
