id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
CHN,96.75,40.4,2.7,2.6
CHN,96.99,41.6,2.52,3.1
CHN,97.22,42.9,2.49,3.1
CHN,97.45,44.3,2.54,3.0
CHN,97.68,45.7,2.37,3.1
CHN,97.93,47.3,2.36,3.3
CHN,98.2,49.1,2.27,3.4
CHN,98.49,51.3,2.13,3.7
CHN,98.79,53.3,2.17,4.4
CHN,99.11,55.8,2.13,4.8
CHN,99.7,58.1,2.06,5.0
CHN,99.89,60.7,2.03,5.0
CHN,99.95,63.2,1.97,5.9
CHN,99.99,65.6,1.84,6.6
CHN,100.0,68.2,1.73,7.2
CHN,100.0,70.6,1.7,7.7
CHN,100.0,73.1,1.59,8.4
CHN,100.0,75.4,1.5,9.1
CHN,100.0,77.6,1.46,9.7
CHN,100.0,79.4,1.44,10.5
CHN,100.0,81.4,1.41,11.1
CHN,100.0,83.2,1.34,
CHN,,,1.28,
CHN,,,,
CHN,,,,
