id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
COD,6.7,1.1,0.29,23.2
COD,7.11,1.3,0.28,23.2
COD,7.73,1.5,0.29,23.0
COD,8.34,1.7,0.34,22.9
COD,8.96,1.9,0.29,22.9
COD,6.0,2.1,0.31,23.1
COD,10.24,2.3,0.31,23.3
COD,15.2,2.6,0.34,23.4
COD,11.6,2.7,0.36,23.2
COD,12.3,2.9,0.31,23.4
COD,13.01,3.1,0.35,23.3
COD,13.73,3.3,0.39,23.3
COD,15.4,3.4,0.37,21.5
COD,15.17,3.7,0.47,19.4
COD,13.5,3.8,0.57,17.7
COD,16.58,3.9,0.36,18.0
COD,17.29,3.9,0.28,18.1
COD,17.99,4.1,0.32,5.2
COD,18.68,4.2,0.32,6.2
COD,19.1,4.2,0.32,6.4
COD,20.07,4.3,0.31,6.6
COD,20.77,4.3,0.36,
COD,,,0.33,
COD,,,,
COD,,,,
