id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
DOM,88.77,83.3,1.46,7.6
DOM,89.79,84.3,1.49,7.5
DOM,89.75,85.0,1.51,7.6
DOM,89.17,85.6,1.51,8.4
DOM,90.32,86.2,1.44,9.8
DOM,90.14,86.6,1.35,9.0
DOM,90.12,86.9,1.35,8.0
DOM,96.88,87.3,1.37,7.9
DOM,97.58,87.3,1.39,7.5
DOM,97.86,87.6,1.44,7.6
DOM,98.15,87.8,1.39,7.4
DOM,97.9,88.0,1.35,7.3
DOM,97.87,88.2,1.26,7.8
DOM,98.39,88.4,1.2,7.8
DOM,98.47,88.8,1.26,7.7
DOM,98.56,89.1,1.3,6.0
DOM,98.9,89.6,1.31,6.9
DOM,100.0,90.0,1.25,8.4
DOM,98.9,90.5,1.3,7.6
DOM,99.0,90.9,1.38,6.7
DOM,100.0,91.3,1.4,7.9
DOM,98.1,91.5,1.15,
DOM,,,1.1,
DOM,,,,
DOM,,,,
