id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
EGY,97.7,82.8,1.84,3.5
EGY,97.36,86.5,1.53,3.5
EGY,97.52,89.6,1.45,3.0
EGY,98.8,92.1,1.57,3.0
EGY,97.84,94.0,1.5,3.0
EGY,99.4,95.6,1.55,2.6
EGY,99.04,96.8,1.55,2.5
EGY,98.43,97.7,1.51,2.7
EGY,99.8,98.3,1.51,2.6
EGY,98.92,98.9,1.49,2.3
EGY,99.36,99.2,1.27,2.1
EGY,99.44,99.4,1.38,2.3
EGY,99.7,99.6,1.3,2.2
EGY,99.88,99.7,1.26,2.2
EGY,99.8,99.8,1.3,2.3
EGY,99.3,99.8,1.2,2.2
EGY,100.0,99.9,1.26,2.1
EGY,100.0,99.9,1.32,2.0
EGY,100.0,99.9,1.22,2.1
EGY,100.0,99.9,1.3,3.1
EGY,100.0,99.9,1.21,3.3
EGY,100.0,99.9,1.18,
EGY,,,1.2,
EGY,,,,
EGY,,,,
