id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ERI,29.26,3.5,2.88,3.3
ERI,30.31,3.9,2.69,3.2
ERI,32.2,4.3,2.32,3.1
ERI,32.39,4.8,2.57,3.1
ERI,33.44,5.3,2.72,3.1
ERI,34.5,5.7,2.67,3.3
ERI,35.58,6.2,2.04,3.4
ERI,36.67,6.7,1.96,3.5
ERI,37.79,7.3,1.42,3.6
ERI,38.92,7.7,1.67,3.6
ERI,40.06,8.1,1.59,3.6
ERI,41.2,8.5,1.77,3.4
ERI,42.35,8.9,1.88,3.5
ERI,43.49,9.3,2.04,3.7
ERI,44.63,9.6,2.05,3.7
ERI,45.77,10.0,2.05,3.7
ERI,46.9,10.2,2.02,3.7
ERI,48.02,10.4,1.67,3.7
ERI,49.15,10.7,1.77,3.8
ERI,50.27,11.1,1.79,3.8
ERI,51.39,11.1,1.71,3.8
ERI,52.51,11.5,1.82,
ERI,,,1.8,
ERI,,,,
ERI,,,,
