id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ESP,100.0,100.0,1.43,7.9
ESP,100.0,100.0,1.37,8.9
ESP,100.0,100.0,1.42,7.4
ESP,100.0,100.0,1.33,8.9
ESP,100.0,100.0,1.31,8.0
ESP,100.0,100.0,1.32,7.3
ESP,100.0,100.0,1.24,8.5
ESP,100.0,100.0,1.23,9.0
ESP,100.0,100.0,1.09,9.7
ESP,100.0,100.0,1.03,12.2
ESP,100.0,100.0,0.97,14.4
ESP,100.0,100.0,0.99,14.7
ESP,100.0,100.0,0.97,15.8
ESP,100.0,100.0,0.91,16.9
ESP,100.0,100.0,0.94,17.3
ESP,100.0,100.0,1.0,16.3
ESP,100.0,100.0,0.98,16.7
ESP,100.0,100.0,1.02,15.2
ESP,100.0,100.0,1.01,16.9
ESP,100.0,100.0,0.95,16.7
ESP,100.0,100.0,0.84,19.3
ESP,100.0,100.0,0.88,
ESP,,,0.88,
ESP,,,,
ESP,,,,
