id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
FJI,76.78,28.5,1.08,48.5
FJI,77.74,28.4,1.32,39.0
FJI,79.63,28.7,1.06,47.4
FJI,80.0,28.8,1.18,39.3
FJI,80.6,29.1,1.52,34.5
FJI,81.57,29.5,1.22,38.6
FJI,82.56,30.0,1.33,37.8
FJI,88.9,30.5,1.28,34.7
FJI,86.16,31.4,1.01,40.6
FJI,85.64,32.3,0.9,39.9
FJI,92.4,33.3,1.26,26.5
FJI,92.5,34.3,1.18,32.0
FJI,92.62,35.6,1.13,31.9
FJI,91.75,37.1,1.25,31.6
FJI,92.95,38.6,1.38,32.1
FJI,93.18,40.5,1.41,31.5
FJI,93.42,42.1,1.33,26.3
FJI,96.0,44.0,1.34,27.4
FJI,95.06,46.0,1.34,24.7
FJI,96.09,47.9,1.28,25.3
FJI,97.13,49.8,1.02,30.3
FJI,92.1,51.4,1.07,28.4
FJI,,,1.04,
FJI,,,,
FJI,,,,
