id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
FRA,100.0,100.0,0.79,9.3
FRA,100.0,100.0,0.79,9.5
FRA,100.0,100.0,0.77,8.7
FRA,100.0,100.0,0.77,8.9
FRA,100.0,100.0,0.76,9.0
FRA,100.0,100.0,0.76,8.7
FRA,100.0,100.0,0.74,8.5
FRA,100.0,100.0,0.73,9.5
FRA,100.0,100.0,0.71,10.6
FRA,100.0,100.0,0.73,11.3
FRA,100.0,100.0,0.69,12.0
FRA,100.0,100.0,0.65,10.7
FRA,100.0,100.0,0.65,12.3
FRA,100.0,100.0,0.65,13.4
FRA,100.0,100.0,0.6,13.2
FRA,100.0,100.0,0.6,13.3
FRA,100.0,100.0,0.62,14.3
FRA,100.0,100.0,0.63,14.1
FRA,100.0,100.0,0.58,15.2
FRA,100.0,100.0,0.58,15.5
FRA,100.0,100.0,0.55,16.9
FRA,100.0,100.0,0.58,
FRA,,,0.67,
FRA,,,,
FRA,,,,
