id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
FSM,46.0,10.8,,1.0
FSM,48.45,10.8,,1.1
FSM,50.14,10.8,,1.3
FSM,51.83,10.8,,0.5
FSM,53.52,10.8,,0.6
FSM,55.23,10.9,,0.8
FSM,56.95,11.0,,0.9
FSM,58.7,11.1,,0.8
FSM,60.47,11.2,,0.9
FSM,62.24,11.4,,0.8
FSM,64.53,11.6,,1.3
FSM,66.27,11.8,,1.1
FSM,67.83,11.9,,1.0
FSM,69.41,12.1,,1.0
FSM,71.2,12.4,,1.1
FSM,72.98,12.55,,1.3
FSM,74.76,12.6,,1.4
FSM,76.54,12.8,,1.5
FSM,78.31,13.0,,1.7
FSM,80.08,13.1,,1.7
FSM,81.85,13.2,,1.8
FSM,83.63,13.3,,1.8
FSM,,,,
FSM,,,,
FSM,,,,
