id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
GNQ,64.83,18.5,47.11,0.2
GNQ,64.86,19.0,45.51,1.3
GNQ,64.89,19.4,40.61,0.9
GNQ,64.92,20.0,42.34,0.8
GNQ,64.95,20.3,63.27,0.2
GNQ,64.99,20.5,59.69,0.2
GNQ,65.06,21.0,52.84,0.2
GNQ,65.14,21.6,42.72,0.2
GNQ,65.24,22.0,30.16,0.1
GNQ,65.36,22.7,22.28,0.1
GNQ,66.12,23.1,29.27,0.1
GNQ,66.1,23.4,20.39,0.1
GNQ,65.75,23.6,12.73,0.2
GNQ,65.88,23.8,9.65,0.3
GNQ,66.0,24.0,7.07,1.2
GNQ,66.12,23.9,5.42,1.5
GNQ,66.24,24.0,5.41,1.3
GNQ,66.35,24.0,5.9,1.1
GNQ,66.46,23.9,4.44,1.6
GNQ,66.57,24.0,3.31,2.1
GNQ,66.68,23.9,3.92,2.0
GNQ,66.79,24.1,3.94,1.6
GNQ,,,3.45,
GNQ,,,,
GNQ,,,,
