id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
HUN,100.0,100.0,1.7,5.2
HUN,100.0,100.0,1.68,5.1
HUN,100.0,100.0,1.67,5.2
HUN,99.99,100.0,1.84,5.0
HUN,99.97,100.0,1.82,4.6
HUN,99.93,100.0,1.73,7.3
HUN,99.88,100.0,1.71,7.9
HUN,100.0,100.0,1.5,9.0
HUN,100.0,100.0,1.47,9.0
HUN,100.0,100.0,1.48,12.3
HUN,100.0,100.0,1.43,13.5
HUN,100.0,100.0,1.45,14.7
HUN,99.97,100.0,1.41,16.5
HUN,99.99,100.0,1.52,17.2
HUN,100.0,100.0,1.57,15.7
HUN,100.0,100.0,1.62,15.6
HUN,100.0,100.0,1.55,15.3
HUN,100.0,100.0,1.57,14.5
HUN,100.0,100.0,1.61,13.6
HUN,100.0,100.0,1.52,13.6
HUN,100.0,100.0,1.43,14.8
HUN,100.0,100.0,1.42,
HUN,,,1.31,
HUN,,,,
HUN,,,,
