id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
IND,60.29,22.1,1.59,11.8
IND,62.01,23.1,1.56,12.8
IND,62.3,24.55,1.53,12.2
IND,65.41,25.7,1.49,12.4
IND,64.4,27.0,1.51,12.6
IND,68.84,28.1,1.52,13.0
IND,67.9,29.4,1.55,13.3
IND,72.34,31.1,1.64,13.3
IND,74.12,32.35,1.69,12.6
IND,75.0,34.0,1.78,11.9
IND,76.3,35.6,1.76,12.0
IND,79.52,38.0,1.76,11.7
IND,79.9,40.0,1.85,12.0
IND,83.13,42.8,1.69,13.0
IND,85.13,45.5,1.62,13.1
IND,88.0,48.55,1.65,13.5
IND,89.59,51.9,1.7,13.9
IND,91.79,55.5,1.69,14.4
IND,95.7,59.5,1.74,15.3
IND,95.89,63.3,1.7,16.0
IND,96.5,67.3,1.64,17.7
IND,99.57,71.1,1.63,
IND,,,1.61,
IND,,,,
IND,,,,
