id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
IRL,100.0,100.0,1.92,2.0
IRL,100.0,100.0,1.95,2.0
IRL,100.0,100.0,1.87,2.2
IRL,100.0,100.0,1.85,2.0
IRL,100.0,100.0,1.85,2.3
IRL,100.0,100.0,1.89,2.9
IRL,100.0,100.0,1.77,3.2
IRL,100.0,100.0,1.69,3.5
IRL,100.0,100.0,1.59,4.2
IRL,100.0,100.0,1.52,5.3
IRL,100.0,100.0,1.49,5.3
IRL,100.0,100.0,1.4,7.0
IRL,100.0,100.0,1.42,6.9
IRL,100.0,100.0,1.47,7.7
IRL,100.0,100.0,1.44,8.8
IRL,100.0,100.0,1.39,9.5
IRL,100.0,100.0,1.35,8.6
IRL,100.0,100.0,1.28,10.1
IRL,100.0,100.0,1.27,10.8
IRL,100.0,100.0,1.23,12.3
IRL,100.0,100.0,1.13,13.7
IRL,100.0,100.0,1.23,
IRL,,,1.18,
IRL,,,,
IRL,,,,
