id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
IRN,97.9,92.9,3.0,0.4
IRN,98.07,93.3,2.97,0.4
IRN,98.14,93.9,2.79,0.6
IRN,98.22,94.5,2.65,0.8
IRN,98.31,95.0,2.64,0.7
IRN,98.4,95.4,2.6,1.2
IRN,98.4,95.7,2.58,1.2
IRN,98.65,96.1,2.47,1.1
IRN,98.81,96.3,2.44,0.5
IRN,99.71,96.5,2.43,0.6
IRN,99.43,96.6,2.38,0.7
IRN,99.47,96.7,2.36,0.7
IRN,99.53,96.8,2.32,0.8
IRN,99.83,96.9,2.29,0.8
IRN,100.0,96.9,2.31,0.8
IRN,99.96,96.8,2.25,0.7
IRN,99.95,96.8,2.2,0.9
IRN,99.94,96.8,2.24,0.8
IRN,100.0,96.7,2.31,0.9
IRN,100.0,96.7,2.16,0.8
IRN,100.0,96.6,2.08,0.9
IRN,100.0,96.4,1.99,
IRN,,,1.92,
IRN,,,,
IRN,,,,
