id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ISL,100.0,100.0,0.39,60.7
ISL,100.0,100.0,0.36,62.1
ISL,100.0,100.0,0.36,61.8
ISL,100.0,100.0,0.35,61.9
ISL,100.0,100.0,0.36,61.9
ISL,100.0,100.0,0.35,62.7
ISL,100.0,100.0,0.32,64.2
ISL,100.0,100.0,0.29,67.5
ISL,100.0,100.0,0.23,73.9
ISL,100.0,100.0,0.22,74.6
ISL,100.0,100.0,0.22,75.9
ISL,100.0,100.0,0.21,77.1
ISL,100.0,100.0,0.2,77.7
ISL,100.0,100.0,0.19,76.6
ISL,100.0,100.0,0.19,76.9
ISL,100.0,100.0,0.19,77.8
ISL,100.0,100.0,0.19,80.8
ISL,100.0,100.0,0.19,80.7
ISL,100.0,100.0,0.19,81.3
ISL,100.0,100.0,0.18,81.6
ISL,100.0,100.0,0.18,82.8
ISL,100.0,100.0,0.18,
ISL,,,0.18,
ISL,,,,
ISL,,,,
