id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
JPN,100.0,100.0,1.24,3.7
JPN,100.0,100.0,1.25,3.5
JPN,100.0,100.0,1.26,3.7
JPN,100.0,100.0,1.27,4.2
JPN,100.0,100.0,1.23,4.3
JPN,100.0,100.0,1.23,4.0
JPN,100.0,100.0,1.19,4.4
JPN,100.0,100.0,1.18,4.3
JPN,100.0,100.0,1.16,4.4
JPN,100.0,100.0,1.11,4.5
JPN,100.0,100.0,1.08,4.7
JPN,100.0,100.0,1.1,4.8
JPN,100.0,100.0,1.22,4.7
JPN,100.0,100.0,1.21,5.0
JPN,100.0,100.0,1.19,5.6
JPN,100.0,100.0,1.17,6.2
JPN,100.0,100.0,1.13,6.4
JPN,100.0,100.0,1.12,6.9
JPN,100.0,100.0,1.09,7.3
JPN,100.0,100.0,1.09,7.8
JPN,100.0,100.0,1.08,8.5
JPN,100.0,100.0,1.08,
JPN,,,1.06,
JPN,,,,
JPN,,,,
