id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KGZ,99.58,53.9,0.29,35.2
KGZ,99.53,55.7,0.26,36.0
KGZ,100.0,57.4,0.38,28.3
KGZ,99.41,59.2,0.35,30.5
KGZ,99.35,61.0,0.36,27.7
KGZ,99.44,62.9,0.37,28.0
KGZ,98.89,64.4,0.38,27.8
KGZ,99.54,66.2,0.44,24.5
KGZ,99.51,68.0,0.64,22.0
KGZ,99.5,69.6,0.61,24.7
KGZ,99.0,71.2,0.53,25.6
KGZ,98.32,72.6,0.51,25.9
KGZ,99.8,73.7,0.67,22.5
KGZ,98.93,74.7,0.7,24.8
KGZ,99.8,75.5,0.71,26.6
KGZ,98.69,76.3,0.8,23.5
KGZ,99.71,76.9,0.73,22.2
KGZ,100.0,77.2,0.61,24.7
KGZ,100.0,77.5,0.72,23.4
KGZ,99.89,77.8,0.61,28.3
KGZ,99.87,78.1,0.54,30.0
KGZ,99.67,78.2,0.62,
KGZ,,,0.68,
KGZ,,,,
KGZ,,,,
