id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
KHM,16.6,3.5,6.04,19.3
KHM,9.53,4.1,8.01,19.2
KHM,13.11,4.7,3.89,18.3
KHM,19.3,5.3,3.74,18.2
KHM,14.2,6.0,3.19,19.7
KHM,20.5,6.8,2.88,19.5
KHM,27.49,7.6,2.55,19.4
KHM,20.2,8.4,2.33,18.8
KHM,26.4,9.4,2.61,18.8
KHM,25.6,10.5,3.63,16.6
KHM,31.1,11.8,5.0,16.0
KHM,37.4,13.0,4.98,16.1
KHM,42.3,14.8,3.82,18.5
KHM,50.9,16.4,3.13,20.5
KHM,56.1,18.5,2.2,21.4
KHM,62.72,20.8,1.83,20.9
KHM,68.76,23.5,1.91,21.3
KHM,89.07,26.6,1.82,21.4
KHM,80.7,30.3,1.68,24.9
KHM,84.0,34.5,2.06,23.4
KHM,86.4,39.3,2.12,22.8
KHM,82.5,44.5,2.34,
KHM,,,2.26,
KHM,,,,
KHM,,,,
