id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LAO,42.58,1.3,0.26,20.6
LAO,45.32,1.5,0.29,20.7
LAO,46.3,1.6,0.33,20.7
LAO,48.0,1.7,0.39,20.7
LAO,53.5,1.9,0.43,19.8
LAO,57.2,2.1,0.38,20.1
LAO,57.04,2.4,0.49,20.4
LAO,54.96,2.6,0.55,21.0
LAO,66.0,2.9,0.57,21.2
LAO,67.4,3.2,0.79,22.0
LAO,70.22,3.6,0.36,22.7
LAO,70.0,3.9,0.25,22.9
LAO,76.37,4.3,0.26,23.5
LAO,79.29,4.7,0.28,24.1
LAO,82.5,5.2,0.29,24.8
LAO,89.7,5.6,0.57,22.7
LAO,89.01,6.2,0.65,22.0
LAO,93.6,6.8,0.63,21.2
LAO,92.9,7.3,0.6,21.6
LAO,98.4,7.9,0.63,22.5
LAO,99.31,8.6,0.49,24.0
LAO,100.0,9.3,0.52,23.7
LAO,,,0.51,
LAO,,,,
LAO,,,,
