id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
LVA,99.89,100.0,1.72,35.8
LVA,99.86,100.0,1.77,35.3
LVA,99.8,100.0,1.91,34.4
LVA,99.75,100.0,1.97,34.3
LVA,99.7,100.0,1.67,36.1
LVA,99.67,100.0,1.62,36.3
LVA,99.65,100.0,1.72,34.0
LVA,99.65,100.0,1.84,33.1
LVA,99.67,100.0,1.58,33.7
LVA,100.0,100.0,1.36,38.4
LVA,99.75,100.0,1.31,33.1
LVA,99.8,100.0,1.31,35.5
LVA,100.0,100.0,1.29,40.4
LVA,100.0,100.0,1.31,39.6
LVA,100.0,100.0,1.62,40.2
LVA,100.0,100.0,1.53,38.1
LVA,100.0,100.0,1.29,38.5
LVA,100.0,100.0,1.1,42.6
LVA,100.0,100.0,1.36,41.0
LVA,100.0,100.0,1.39,41.5
LVA,100.0,100.0,1.45,43.8
LVA,100.0,100.0,1.52,
LVA,,,1.63,
LVA,,,,
LVA,,,,
