id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MAR,69.81,90.2,2.42,8.5
MAR,71.58,91.1,2.36,8.5
MAR,73.34,91.9,2.47,8.4
MAR,75.1,92.6,2.24,9.1
MAR,78.2,93.3,2.42,11.5
MAR,78.64,94.0,2.33,9.9
MAR,96.5,94.6,2.34,9.0
MAR,82.25,95.2,2.5,8.2
MAR,84.08,95.6,2.54,7.4
MAR,85.93,96.1,2.44,7.9
MAR,95.73,96.5,2.39,8.0
MAR,96.08,96.8,2.26,6.8
MAR,96.44,97.1,2.15,6.4
MAR,97.2,97.4,2.11,7.3
MAR,97.28,97.6,2.05,7.0
MAR,97.3,97.8,1.96,7.2
MAR,97.8,97.9,1.9,7.3
MAR,100.0,98.0,1.92,7.0
MAR,98.1,98.1,1.81,7.7
MAR,99.6,98.2,1.71,7.6
MAR,100.0,98.2,1.67,7.9
MAR,100.0,98.2,1.77,
MAR,,,1.66,
MAR,,,,
MAR,,,,
