id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MDA,98.73,64.4,0.66,5.7
MDA,98.76,67.8,0.65,5.6
MDA,99.0,71.3,0.72,5.8
MDA,98.79,74.6,0.76,5.9
MDA,99.1,77.9,0.8,4.9
MDA,98.6,81.1,0.83,4.3
MDA,98.9,83.8,0.83,5.0
MDA,98.97,86.1,0.85,4.4
MDA,99.06,88.2,0.86,4.9
MDA,99.17,90.0,0.73,4.8
MDA,99.28,91.4,0.79,20.0
MDA,99.4,92.6,0.86,20.4
MDA,99.52,93.6,0.82,22.1
MDA,99.64,94.4,1.09,23.8
MDA,99.75,95.1,0.89,24.3
MDA,99.86,95.8,0.79,24.7
MDA,99.94,96.3,0.84,25.3
MDA,99.98,96.6,1.05,26.1
MDA,99.99,97.0,1.01,25.7
MDA,100.0,97.2,0.97,22.0
MDA,100.0,97.5,0.85,23.7
MDA,100.0,97.6,0.84,
MDA,,,1.02,
MDA,,,,
MDA,,,,
