id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MDV,83.8,48.2,3.03,0.0
MDV,87.46,54.3,2.84,0.0
MDV,88.3,60.4,3.19,0.0
MDV,89.14,66.4,2.31,0.0
MDV,89.99,72.3,2.77,0.0
MDV,90.85,77.4,2.24,0.0
MDV,91.73,81.7,2.41,0.0
MDV,92.63,85.5,2.22,0.0
MDV,93.55,88.6,2.07,0.0
MDV,99.9,91.2,2.24,0.1
MDV,99.0,93.0,2.63,0.1
MDV,99.1,94.5,2.6,0.1
MDV,99.21,95.8,2.72,0.1
MDV,99.36,96.8,2.57,0.1
MDV,100.0,97.5,2.42,0.2
MDV,99.78,98.0,2.06,0.2
MDV,100.0,98.5,2.13,0.3
MDV,99.8,98.8,2.08,0.3
MDV,100.0,99.0,2.22,0.3
MDV,100.0,99.3,2.4,0.4
MDV,100.0,99.4,2.0,0.5
MDV,100.0,99.5,2.05,0.4
MDV,,,2.01,
MDV,,,,
MDV,,,,
