id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MHL,68.63,12.4,,0.0
MHL,70.05,15.1,,0.0
MHL,71.47,18.2,,0.0
MHL,72.88,21.9,,0.0
MHL,74.3,26.1,,0.0
MHL,75.74,31.1,,0.0
MHL,77.19,35.8,,0.0
MHL,72.3,41.1,,0.0
MHL,80.15,46.2,,0.0
MHL,81.66,50.3,,0.0
MHL,89.4,53.9,,0.0
MHL,89.92,57.0,,0.0
MHL,90.36,59.6,,0.0
MHL,90.89,61.0,,0.0
MHL,91.46,62.5,,0.2
MHL,92.06,63.7,,0.2
MHL,92.67,64.4,,0.3
MHL,93.76,65.1,,0.3
MHL,95.26,65.6,,0.3
MHL,96.76,66.1,,0.3
MHL,98.26,66.2,,0.3
MHL,99.75,66.7,,0.3
MHL,,,,
MHL,,,,
MHL,,,,
