id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
MNE,99.09,66.4,,
MNE,99.07,66.6,,
MNE,99.04,66.5,,
MNE,99.01,66.2,,
MNE,98.98,65.9,,
MNE,99.83,65.6,,47.6
MNE,98.97,65.4,0.7,44.8
MNE,98.99,64.8,0.96,42.3
MNE,99.03,64.4,0.92,38.8
MNE,99.09,63.7,0.59,49.2
MNE,99.15,63.3,0.58,49.1
MNE,99.0,62.9,0.91,42.8
MNE,99.3,62.4,0.78,45.9
MNE,99.7,62.1,0.55,49.3
MNE,97.7,62.0,0.66,45.9
MNE,99.49,61.8,0.75,43.0
MNE,99.6,61.8,0.64,43.9
MNE,100.0,61.7,0.85,37.8
MNE,100.0,61.8,0.63,40.6
MNE,99.96,62.0,0.72,38.7
MNE,99.85,61.8,0.71,39.6
MNE,99.8,62.0,0.61,
MNE,,,0.69,
MNE,,,,
MNE,,,,
