id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NIC,72.95,33.8,1.63,9.9
NIC,72.22,34.9,1.59,6.9
NIC,74.05,35.9,1.56,5.0
NIC,74.6,36.9,1.6,8.7
NIC,75.15,37.9,1.55,9.0
NIC,73.82,39.1,1.49,10.2
NIC,76.3,40.1,1.41,9.2
NIC,76.9,41.2,1.42,9.1
NIC,77.52,42.5,1.3,9.8
NIC,77.92,43.5,1.29,9.1
NIC,80.14,44.7,1.22,10.1
NIC,81.2,45.8,1.26,10.0
NIC,81.28,47.1,1.13,11.2
NIC,81.9,48.3,1.11,12.4
NIC,81.85,49.4,1.07,12.6
NIC,83.24,50.6,1.19,11.5
NIC,83.95,51.8,1.18,11.9
NIC,84.63,53.0,1.21,12.2
NIC,85.21,54.1,1.12,13.1
NIC,85.66,55.2,1.14,12.6
NIC,86.0,56.2,1.25,13.9
NIC,86.29,57.4,1.28,
NIC,,,1.3,
NIC,,,,
NIC,,,,
