id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
NZL,100.0,100.0,0.83,26.4
NZL,100.0,100.0,0.88,24.6
NZL,100.0,100.0,0.86,26.6
NZL,100.0,100.0,0.9,25.9
NZL,100.0,100.0,0.85,28.2
NZL,100.0,100.0,0.88,26.8
NZL,100.0,100.0,0.87,27.0
NZL,100.0,100.0,0.84,27.1
NZL,100.0,100.0,0.86,26.1
NZL,100.0,100.0,0.81,28.5
NZL,100.0,100.0,0.79,29.4
NZL,100.0,100.0,0.78,30.3
NZL,100.0,100.0,0.82,28.8
NZL,100.0,100.0,0.83,28.3
NZL,100.0,100.0,0.83,29.0
NZL,100.0,100.0,0.82,29.3
NZL,100.0,100.0,0.79,30.1
NZL,100.0,100.0,0.82,28.4
NZL,100.0,100.0,0.82,28.9
NZL,100.0,100.0,0.84,27.9
NZL,100.0,100.0,0.79,28.6
NZL,100.0,100.0,0.77,
NZL,,,0.73,
NZL,,,,
NZL,,,,
