id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
PER,72.5,41.9,1.44,16.4
PER,72.11,45.6,1.22,18.0
PER,74.38,48.8,1.16,18.1
PER,74.38,51.7,1.08,18.7
PER,75.69,54.2,1.17,16.7
PER,77.17,56.65,1.19,16.8
PER,80.16,58.8,1.03,17.8
PER,81.99,60.7,1.15,16.4
PER,84.68,62.9,1.09,14.9
PER,86.42,64.3,1.2,15.0
PER,88.12,66.1,1.18,15.8
PER,89.71,68.0,1.08,15.7
PER,91.1,69.6,1.14,16.6
PER,92.14,71.4,0.99,15.4
PER,92.92,73.5,1.08,15.6
PER,93.85,75.3,1.02,15.7
PER,94.2,77.2,1.02,16.0
PER,94.8,79.0,1.04,17.2
PER,95.2,80.7,1.02,17.8
PER,95.55,82.4,1.02,17.9
PER,96.2,83.9,0.89,19.3
PER,95.6,85.5,1.0,
PER,,,1.06,
PER,,,,
PER,,,,
