id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SEN,37.74,34.6,2.61,0.2
SEN,38.89,35.6,2.37,0.2
SEN,36.8,36.4,2.13,0.3
SEN,41.94,37.2,2.11,0.2
SEN,36.8,37.6,2.19,0.1
SEN,47.1,37.6,2.08,0.2
SEN,49.9,37.5,1.67,0.2
SEN,48.15,36.8,1.74,0.1
SEN,49.75,36.0,1.6,0.1
SEN,53.5,34.7,1.73,1.6
SEN,56.5,33.4,2.12,1.1
SEN,56.5,32.1,2.37,1.3
SEN,56.5,30.8,2.04,1.4
SEN,57.0,29.8,2.07,1.8
SEN,61.0,28.9,2.09,1.1
SEN,60.5,28.4,2.21,1.0
SEN,64.5,28.3,2.1,1.2
SEN,61.7,28.3,2.28,1.1
SEN,66.0,28.3,2.29,1.5
SEN,70.4,28.6,2.18,4.6
SEN,64.3,28.9,1.78,5.2
SEN,67.98,29.4,1.73,
SEN,,,1.5,
SEN,,,,
SEN,,,,
