id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SLB,4.68,8.7,3.54,0.0
SLB,7.59,8.6,4.05,0.0
SLB,10.5,8.6,4.23,0.0
SLB,13.41,8.4,4.48,0.0
SLB,16.32,8.4,4.79,0.1
SLB,19.24,8.3,4.14,0.0
SLB,14.4,8.3,4.14,0.1
SLB,12.9,8.2,3.74,0.1
SLB,28.13,8.2,3.78,0.1
SLB,21.2,8.2,3.96,0.2
SLB,35.42,8.3,3.97,0.1
SLB,39.14,8.3,4.22,0.2
SLB,42.89,8.3,4.23,0.2
SLB,44.7,8.4,4.24,0.2
SLB,50.48,8.4,3.53,0.3
SLB,55.1,8.5,3.08,0.3
SLB,58.2,8.6,2.82,0.3
SLB,62.9,8.6,2.7,0.4
SLB,65.79,8.8,2.71,0.3
SLB,69.4,8.9,2.67,0.3
SLB,72.9,8.9,2.66,0.3
SLB,76.35,8.9,2.77,0.4
SLB,,,2.74,
SLB,,,,
SLB,,,,
