id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SUR,95.42,76.1,2.28,15.8
SUR,95.31,77.5,2.27,16.3
SUR,95.19,78.8,1.27,21.6
SUR,95.07,80.1,1.18,19.1
SUR,94.96,81.1,1.09,17.3
SUR,94.86,82.3,0.94,14.1
SUR,91.02,83.4,1.1,17.4
SUR,94.71,84.4,1.18,19.8
SUR,94.67,85.4,1.28,21.6
SUR,94.64,86.4,1.3,21.7
SUR,91.2,87.4,1.21,17.7
SUR,94.6,88.2,1.8,16.5
SUR,94.59,89.1,1.49,11.5
SUR,94.58,90.0,1.79,12.7
SUR,94.56,90.7,1.75,8.4
SUR,94.98,91.5,1.46,7.2
SUR,95.82,92.2,1.61,8.0
SUR,96.63,92.9,1.35,12.1
SUR,97.4,93.35,1.17,14.5
SUR,97.93,93.9,1.41,11.6
SUR,98.4,94.5,1.43,11.8
SUR,98.82,94.8,1.76,
SUR,,,1.71,
SUR,,,,
SUR,,,,
