id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SVN,100.0,100.0,1.13,18.0
SVN,100.0,100.0,1.15,18.7
SVN,100.0,100.0,1.16,16.3
SVN,100.0,100.0,1.2,16.9
SVN,100.0,100.0,1.12,17.8
SVN,100.0,100.0,1.14,18.6
SVN,100.0,100.0,1.16,17.4
SVN,100.0,100.0,1.18,18.4
SVN,100.0,100.0,1.14,17.6
SVN,100.0,100.0,1.01,19.6
SVN,100.0,100.0,1.04,20.1
SVN,100.0,100.0,1.06,19.1
SVN,100.0,100.0,1.04,20.2
SVN,100.0,100.0,0.98,22.5
SVN,100.0,100.0,0.81,22.9
SVN,100.0,100.0,0.95,21.4
SVN,100.0,100.0,0.92,21.0
SVN,100.0,100.0,0.94,19.7
SVN,100.0,100.0,0.92,20.6
SVN,100.0,100.0,0.91,20.9
SVN,100.0,100.0,0.78,22.4
SVN,100.0,100.0,0.89,
SVN,,,1.02,
SVN,,,,
SVN,,,,
