id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
SYR,93.39,98.5,2.15,2.0
SYR,93.12,98.6,1.91,2.1
SYR,86.6,98.7,1.44,1.6
SYR,92.55,98.8,1.81,1.9
SYR,92.27,98.8,1.59,2.6
SYR,92.01,98.9,1.41,2.1
SYR,99.51,98.9,1.43,1.8
SYR,91.53,98.8,1.72,1.5
SYR,91.32,98.8,1.65,1.2
SYR,91.13,98.7,1.45,0.9
SYR,92.7,98.6,1.33,1.3
SYR,91.45,98.5,1.41,1.6
SYR,90.71,98.3,1.42,2.0
SYR,90.4,98.2,1.35,3.1
SYR,90.22,98.0,1.46,2.7
SYR,90.03,97.8,1.59,0.6
SYR,89.83,97.6,1.48,1.3
SYR,89.63,97.5,1.54,1.1
SYR,86.0,97.2,1.78,0.9
SYR,89.23,96.9,1.62,1.0
SYR,89.03,96.6,1.6,1.1
SYR,88.83,96.3,1.61,
SYR,,,1.64,
SYR,,,,
SYR,,,,
