id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
THA,82.1,59.1,1.75,10.6
THA,90.37,60.8,1.71,8.8
THA,90.98,62.4,1.7,9.4
THA,91.59,64.0,1.65,10.1
THA,92.2,65.3,1.68,9.6
THA,92.83,66.7,1.65,10.4
THA,99.15,68.1,1.58,10.9
THA,94.14,69.4,1.58,11.6
THA,94.82,70.7,1.54,12.5
THA,98.96,72.0,1.56,13.2
THA,99.7,73.2,1.53,12.7
THA,99.32,74.5,1.59,13.2
THA,99.11,75.5,1.55,14.7
THA,99.4,76.7,1.55,14.1
THA,99.51,77.7,1.56,15.2
THA,99.6,78.9,1.57,14.1
THA,99.89,79.9,1.51,16.7
THA,99.9,81.1,1.56,16.9
THA,99.82,82.1,1.59,18.8
THA,99.9,83.1,1.48,19.4
THA,100.0,84.2,1.52,17.2
THA,100.0,85.1,1.51,
THA,,,1.49,
THA,,,,
THA,,,,
