id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TON,85.59,34.4,2.21,0.0
TON,86.28,36.7,2.26,0.0
TON,86.96,39.2,2.55,0.0
TON,87.64,41.9,2.62,0.0
TON,88.32,44.6,2.32,0.0
TON,89.02,47.3,2.37,0.0
TON,92.3,49.8,2.62,0.0
TON,90.47,52.3,2.23,0.0
TON,91.22,55.0,2.28,0.0
TON,91.99,57.4,2.41,0.0
TON,92.77,59.8,2.26,0.0
TON,92.18,62.5,1.93,0.0
TON,92.8,64.9,1.99,0.0
TON,95.11,67.4,2.09,0.5
TON,95.89,70.1,2.03,0.6
TON,100.0,72.9,2.05,0.9
TON,97.02,75.6,2.07,1.1
TON,98.21,78.1,2.01,1.1
TON,99.01,80.7,1.98,0.9
TON,98.4,82.9,2.23,1.1
TON,99.86,85.1,2.48,1.3
TON,100.0,86.8,2.55,1.5
TON,,,2.52,
TON,,,,
TON,,,,
