id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TTO,91.29,100.0,4.46,0.1
TTO,96.28,100.0,4.74,0.1
TTO,96.47,100.0,5.09,0.1
TTO,96.65,100.0,5.03,0.0
TTO,96.85,100.0,5.09,0.1
TTO,95.0,100.0,5.42,0.1
TTO,100.0,100.0,5.96,0.1
TTO,100.0,100.0,5.94,0.1
TTO,100.0,100.0,5.75,0.1
TTO,99.0,100.0,5.67,0.1
TTO,100.0,100.0,5.55,0.0
TTO,97.5,100.0,5.37,0.0
TTO,100.0,100.0,5.06,0.0
TTO,100.0,100.0,4.82,0.0
TTO,100.0,100.0,4.98,0.0
TTO,100.0,100.0,4.76,0.0
TTO,100.0,100.0,4.24,0.0
TTO,100.0,100.0,4.33,0.0
TTO,100.0,100.0,4.37,0.0
TTO,100.0,100.0,4.44,0.0
TTO,100.0,100.0,3.8,0.0
TTO,100.0,100.0,3.84,
TTO,,,3.65,
TTO,,,,
TTO,,,,
