id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TUN,94.8,93.6,1.85,0.1
TUN,97.3,94.8,1.79,0.1
TUN,97.8,95.7,1.75,0.1
TUN,98.4,96.6,1.87,0.3
TUN,99.0,97.3,1.85,0.2
TUN,99.2,97.8,1.78,0.2
TUN,99.4,98.2,1.76,0.2
TUN,99.4,98.6,1.79,0.1
TUN,99.4,98.9,1.78,0.1
TUN,99.5,99.1,1.67,0.4
TUN,99.5,99.3,1.77,0.8
TUN,99.5,99.5,1.62,0.8
TUN,99.5,99.6,1.59,1.0
TUN,99.7,99.7,1.56,1.2
TUN,99.8,99.7,1.57,1.4
TUN,99.9,99.8,1.61,1.3
TUN,100.0,99.8,1.56,1.4
TUN,100.0,99.8,1.54,1.3
TUN,99.8,99.8,1.5,1.4
TUN,100.0,99.8,1.39,1.6
TUN,99.9,99.9,1.33,1.7
TUN,99.9,99.9,1.61,
TUN,,,1.68,
TUN,,,,
TUN,,,,
