id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
TUR,99.9,90.2,,17.3
TUR,99.87,90.85,,18.1
TUR,99.82,91.3,,17.5
TUR,99.76,91.9,,16.3
TUR,99.72,92.2,,16.8
TUR,99.68,92.7,,15.3
TUR,99.66,93.0,,14.2
TUR,99.67,93.3,,12.5
TUR,99.69,93.7,,12.5
TUR,99.72,93.9,,13.1
TUR,100.0,94.1,,14.2
TUR,100.0,94.4,,12.7
TUR,100.0,94.5,,13.0
TUR,100.0,94.6,,13.8
TUR,100.0,94.8,,11.5
TUR,100.0,94.9,,13.3
TUR,100.0,95.0,,13.2
TUR,100.0,95.2,,11.4
TUR,100.0,95.2,,11.8
TUR,100.0,95.4,,14.1
TUR,100.0,95.4,,13.7
TUR,100.0,95.4,,
TUR,,,,
TUR,,,,
TUR,,,,
