id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
USA,100.0,100.0,1.58,5.4
USA,100.0,100.0,1.58,4.7
USA,100.0,100.0,1.54,4.8
USA,100.0,100.0,1.55,5.3
USA,100.0,100.0,1.54,5.5
USA,100.0,100.0,1.51,5.8
USA,100.0,100.0,1.49,6.4
USA,100.0,100.0,1.48,6.3
USA,100.0,100.0,1.44,6.8
USA,100.0,100.0,1.39,7.4
USA,100.0,100.0,1.38,7.4
USA,100.0,100.0,1.35,8.4
USA,100.0,100.0,1.32,8.7
USA,100.0,100.0,1.35,9.1
USA,100.0,100.0,1.35,9.2
USA,100.0,100.0,1.31,9.0
USA,100.0,100.0,1.28,9.5
USA,100.0,100.0,1.28,9.9
USA,100.0,100.0,1.28,10.1
USA,100.0,100.0,1.26,10.4
USA,100.0,100.0,1.16,11.2
USA,100.0,100.0,1.21,
USA,,,1.18,
USA,,,,
USA,,,,
