id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
YEM,49.24,55.5,4.61,1.0
YEM,50.36,56.05,4.69,0.9
YEM,51.48,56.6,4.4,0.9
YEM,52.6,57.0,4.51,0.8
YEM,49.59,57.5,4.58,0.8
YEM,54.85,57.9,4.54,0.7
YEM,55.8,58.4,4.42,0.8
YEM,57.18,58.6,3.91,0.8
YEM,58.37,59.1,3.73,0.7
YEM,59.57,59.6,3.97,0.7
YEM,60.78,59.7,3.32,0.8
YEM,62.0,60.1,3.63,0.9
YEM,52.41,60.4,2.88,1.1
YEM,75.6,60.6,3.19,0.8
YEM,66.1,60.8,3.46,0.8
YEM,67.42,60.9,2.44,2.0
YEM,68.86,61.1,2.09,2.6
YEM,79.2,61.2,2.39,2.9
YEM,62.0,61.3,3.32,2.9
YEM,72.78,61.4,3.61,3.0
YEM,73.85,61.3,3.7,3.5
YEM,74.88,61.3,3.83,
YEM,,,3.84,
YEM,,,,
YEM,,,,
