id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AGO,24.24,40.1,11.07,2.9
AGO,20.0,40.7,9.71,3.0
AGO,26.32,41.2,9.11,3.0
AGO,27.36,41.5,8.76,2.9
AGO,28.4,42.2,7.59,3.0
AGO,29.45,42.6,5.84,3.8
AGO,30.52,42.9,5.75,4.2
AGO,37.5,43.3,5.43,3.7
AGO,38.49,43.8,4.63,4.1
AGO,33.85,44.1,4.21,3.8
AGO,34.98,44.7,4.21,4.3
AGO,34.6,45.2,4.13,4.4
AGO,37.26,45.8,3.36,4.0
AGO,38.4,46.1,3.15,4.5
AGO,32.0,46.7,2.59,4.7
AGO,42.0,47.4,2.66,4.6
AGO,41.79,47.8,2.19,5.2
AGO,42.91,48.3,2.09,7.2
AGO,45.29,48.7,1.63,8.4
AGO,45.63,49.3,1.22,8.8
AGO,46.96,49.7,1.0,10.5
AGO,48.22,50.0,1.04,8.239521861182723
AGO,49.48858914369608,50.56623376623374,0.95,8.570938288094013
AGO,50.71647441840878,51.04195369847542,0.0,8.902354715005297
AGO,51.944359693121484,51.51767363071709,0.0,9.233771141916584
