id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ALB,99.43,38.7,0.64,41.4
ALB,99.42,41.0,0.87,39.0
ALB,99.41,43.8,1.01,35.8
ALB,99.39,46.5,0.82,33.7
ALB,99.37,49.2,0.75,35.8
ALB,99.37,52.0,0.79,36.8
ALB,99.39,54.8,0.78,31.6
ALB,99.43,57.8,1.39,32.0
ALB,100.0,60.7,1.17,35.8
ALB,99.55,63.1,0.85,37.1
ALB,99.64,65.8,0.63,37.0
ALB,99.72,68.1,1.27,35.8
ALB,99.9,70.4,1.03,39.9
ALB,99.89,72.3,0.76,41.1
ALB,99.95,74.4,1.27,38.6
ALB,99.98,76.1,0.8,38.5
ALB,99.89,77.6,0.6,39.4
ALB,99.89,79.0,1.17,36.9
ALB,100.0,80.2,0.57,37.8
ALB,100.0,81.6,0.93,40.1
ALB,100.0,82.7,0.95,44.6
ALB,100.0,83.7,0.55,47.16614921802328
ALB,100.0,88.06155689635588,0.71,50.35539537306262
ALB,100.0,89.93619448599883,0.8378656126482213,53.54464152810196
ALB,100.0,91.81083207564177,0.8341007905138338,56.73388768314132
