id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ARG,95.68,95.8,1.61,8.8
ARG,95.51,96.3,1.5,10.8
ARG,96.1,96.8,1.48,10.9
ARG,96.3,97.2,1.47,10.0
ARG,96.51,97.6,1.57,8.6
ARG,96.73,98.0,1.54,9.1
ARG,96.96,98.3,1.54,8.6
ARG,97.22,98.6,1.55,7.2
ARG,97.5,98.9,1.56,7.1
ARG,97.79,99.1,1.48,8.1
ARG,98.82,99.2,1.48,8.3
ARG,99.03,99.4,1.47,8.3
ARG,99.14,99.5,1.41,8.2
ARG,99.29,99.6,1.36,8.4
ARG,100.0,99.7,1.36,9.3
ARG,99.69,99.8,1.32,8.9
ARG,99.9,99.8,1.29,8.9
ARG,100.0,99.8,1.29,9.9
ARG,99.99,99.9,1.23,10.1
ARG,100.0,99.9,1.29,10.3
ARG,100.0,99.9,1.17,9.3
ARG,100.0,99.9,1.25,9.093819366157918
ARG,100.0,100.0,1.33,9.105733707155808
ARG,100.0,100.0,1.2163636363636363,9.117648048153699
ARG,100.0,100.0,1.199792490118577,9.129562389151591
