id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
ATG,97.67,100.0,2.37,0.0
ATG,97.75,100.0,2.16,0.0
ATG,100.0,100.0,2.13,0.0
ATG,97.87,100.0,2.03,0.0
ATG,97.94,100.0,2.04,0.0
ATG,92.2,100.0,1.98,0.0
ATG,100.0,100.0,2.0,0.0
ATG,100.0,100.0,1.87,0.0
ATG,100.0,100.0,1.82,0.0
ATG,98.53,100.0,1.7,0.0
ATG,98.69,100.0,1.67,0.0
ATG,94.55,100.0,1.66,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.1
ATG,100.0,100.0,1.69,0.4
ATG,100.0,100.0,1.71,0.4
ATG,100.0,100.0,1.73,0.4
ATG,100.0,100.0,1.72,0.7
ATG,100.0,100.0,1.79,0.7
ATG,100.0,100.0,1.79,0.7
ATG,100.0,100.0,1.69,0.7
ATG,99.58632355073215,99.99999999999996,1.69,0.6233766233766229
ATG,99.40783961757688,99.99999999999997,1.5613833992094859,0.660191981931112
ATG,99.22935568442165,99.99999999999999,1.5382015810276677,0.697007340485601
