id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
AUS,100.0,100.0,1.67,8.4
AUS,100.0,100.0,1.6,8.4
AUS,100.0,100.0,1.6,8.7
AUS,100.0,100.0,1.68,7.2
AUS,100.0,100.0,1.68,6.7
AUS,100.0,100.0,1.69,6.7
AUS,100.0,100.0,1.69,6.9
AUS,100.0,100.0,1.65,7.0
AUS,100.0,100.0,1.67,6.8
AUS,100.0,100.0,1.64,7.2
AUS,100.0,100.0,1.61,8.2
AUS,100.0,100.0,1.59,8.3
AUS,100.0,100.0,1.62,8.3
AUS,100.0,100.0,1.59,9.2
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.3
AUS,100.0,100.0,1.59,9.4
AUS,100.0,100.0,1.6,9.7
AUS,100.0,100.0,1.64,9.6
AUS,100.0,100.0,1.63,10.1
AUS,100.0,100.0,1.53,10.9
AUS,100.0,100.0,1.48,10.030952380952376
AUS,99.99999999999996,99.99999999999996,1.5,10.179653679653674
AUS,99.99999999999997,99.99999999999997,1.543320158102767,10.328354978354973
AUS,99.99999999999999,99.99999999999999,1.5374011857707508,10.47705627705627
