id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BDI,2.54,0.3,2.71,1.9
BDI,2.83,0.3,1.77,1.7
BDI,3.12,0.3,1.66,1.6
BDI,3.4,0.3,1.58,1.7
BDI,3.69,0.3,2.15,1.7
BDI,3.21,0.3,1.59,1.8
BDI,2.66,0.3,1.95,1.6
BDI,4.66,0.2,1.71,2.0
BDI,4.8,0.3,1.85,1.8
BDI,5.39,0.2,1.36,1.8
BDI,5.3,0.2,1.81,2.0
BDI,6.16,0.2,2.3,2.1
BDI,6.5,0.2,2.35,2.2
BDI,6.9,0.2,2.13,2.2
BDI,7.0,0.2,1.9,2.0
BDI,7.89,0.2,2.02,2.1
BDI,8.48,0.2,2.4,2.1
BDI,9.3,0.2,1.88,1.7
BDI,9.51,0.2,2.46,1.7
BDI,9.84,0.2,1.93,1.6
BDI,9.1,0.2,2.3,1.9
BDI,10.23,0.2,2.27,1.8
BDI,10.53974025974025,0.1649350649350649,2.25,1.9467532467532456
BDI,10.93248447204968,0.15872388481084132,2.229328063241107,1.9539808018068878
BDI,11.32522868435911,0.15251270468661773,2.2472430830039527,1.9612083568605296
