id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BFA,9.1,2.7,2.65,1.4
BFA,9.51,2.9,2.72,1.4
BFA,9.92,3.2,2.74,1.6
BFA,11.4,3.4,2.42,1.6
BFA,10.73,3.7,2.33,1.6
BFA,11.15,3.9,2.18,1.3
BFA,11.59,4.3,2.48,1.1
BFA,12.05,4.7,2.6,1.1
BFA,12.53,5.0,2.81,1.1
BFA,12.63,5.4,2.62,1.1
BFA,13.1,5.8,3.57,1.1
BFA,14.78,6.2,3.96,1.0
BFA,15.07,6.7,4.13,1.0
BFA,15.39,7.2,3.86,1.0
BFA,19.2,7.7,3.31,0.7
BFA,16.15,8.2,3.67,0.6
BFA,16.57,8.7,3.95,0.8
BFA,17.01,9.3,4.05,0.8
BFA,14.4,9.8,4.55,0.8
BFA,17.6,10.3,6.88,1.3
BFA,18.47,11.1,7.03,1.3
BFA,18.95,11.7,7.65,1.3
BFA,18.546078883140126,11.375324675324666,7.63,0.8428571428571422
BFA,18.863238571551737,11.803613777526813,6.528023715415021,0.817334839073969
BFA,19.180398259963344,12.23190287972896,6.746699604743083,0.7918125352907958
