id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BGD,32.0,7.8,1.66,0.4
BGD,35.03,8.0,1.79,0.5
BGD,37.75,8.3,1.69,0.4
BGD,40.47,8.5,1.67,0.4
BGD,40.6,8.9,1.43,0.4
BGD,44.23,9.3,1.4,0.3
BGD,50.53,9.9,1.38,0.3
BGD,46.5,10.4,1.38,0.3
BGD,54.27,11.1,1.32,0.4
BGD,57.08,11.8,1.32,0.2
BGD,55.26,12.7,1.32,0.3
BGD,59.6,13.6,1.28,0.3
BGD,65.55,14.7,1.25,0.3
BGD,61.5,15.8,1.16,0.3
BGD,62.4,17.0,1.18,0.2
BGD,74.0,18.1,1.23,0.3
BGD,75.92,19.3,1.1,0.4
BGD,88.0,20.6,1.1,0.4
BGD,86.92,22.0,1.05,0.4
BGD,92.2,23.5,1.19,0.3
BGD,96.2,25.0,1.11,0.4
BGD,98.99,26.5,1.03,0.3099999999999997
BGD,100.0,25.64317452158032,1.0,0.30701298701298674
BGD,100.0,26.649757902359156,0.9362450592885372,0.3040259740259737
BGD,100.0,27.65634128313798,0.9054249011857703,0.30103896103896066
