id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BHS,100.0,100.0,1.19,0.0
BHS,100.0,100.0,1.1,0.4
BHS,100.0,100.0,1.08,0.4
BHS,100.0,100.0,1.04,1.5
BHS,100.0,100.0,1.04,1.6
BHS,100.0,100.0,0.91,1.7
BHS,100.0,100.0,0.87,2.0
BHS,100.0,100.0,0.83,3.5
BHS,100.0,100.0,0.85,2.0
BHS,100.0,100.0,1.01,1.5
BHS,100.0,100.0,1.11,1.3
BHS,100.0,100.0,1.03,1.4
BHS,100.0,100.0,1.08,1.4
BHS,100.0,100.0,1.08,1.4
BHS,100.0,100.0,1.11,1.4
BHS,100.0,100.0,1.12,1.5
BHS,100.0,100.0,1.12,1.3
BHS,100.0,100.0,1.26,1.1
BHS,100.0,100.0,1.21,1.2
BHS,100.0,100.0,1.22,1.2
BHS,100.0,100.0,1.08,1.4
BHS,100.0,100.0,1.04,1.3
BHS,99.99999999999996,99.99999999999996,1.04,1.5298701298701287
BHS,99.99999999999997,99.99999999999997,1.1302766798418975,1.5423489553924326
BHS,99.99999999999999,99.99999999999999,1.1359881422924905,1.5548277809147364
