id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BIH,99.0,52.3,1.32,19.4
BIH,99.4,52.0,1.25,20.3
BIH,98.5,51.5,1.32,21.2
BIH,99.04,50.2,1.28,20.1
BIH,99.06,49.6,1.22,20.1
BIH,99.09,48.7,1.28,19.7
BIH,99.39,48.1,1.31,18.1
BIH,99.7,47.4,1.49,14.8
BIH,99.29,46.6,1.35,14.3
BIH,99.39,46.0,1.32,17.4
BIH,99.49,45.1,1.24,19.6
BIH,99.71,44.15,1.56,14.2
BIH,99.72,44.0,1.58,15.3
BIH,99.5,43.1,1.25,19.5
BIH,99.92,43.1,1.2,23.6
BIH,99.7,42.6,1.19,25.2
BIH,100.0,42.0,1.23,23.0
BIH,100.0,42.0,1.35,18.5
BIH,100.0,42.0,1.15,35.4
BIH,100.0,41.9,1.19,36.8
BIH,100.0,41.4,1.23,37.7
BIH,100.0,41.65,1.07,40.508664150120026
BIH,100.0,39.285714285714256,1.16,42.68870601804004
BIH,100.0,38.72795031055898,1.2012252964426875,44.86874788596005
BIH,100.0,38.1701863354037,1.1942984189723318,47.048789753880044
