id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BLR,89.0,94.2,2.1,5.6
BLR,89.51,94.9,2.16,6.3
BLR,90.01,95.6,2.04,6.5
BLR,90.51,96.1,2.07,6.2
BLR,91.01,96.7,1.87,6.3
BLR,91.53,97.1,1.92,6.8
BLR,92.06,97.5,1.94,7.2
BLR,92.62,97.8,1.89,7.3
BLR,93.19,98.1,1.79,7.1
BLR,93.78,98.4,1.99,7.4
BLR,94.38,98.7,1.79,7.3
BLR,94.98,98.8,1.9,7.5
BLR,95.58,99.0,2.03,7.2
BLR,96.18,99.1,2.04,7.0
BLR,96.78,99.3,1.83,6.7
BLR,97.37,99.3,1.73,6.8
BLR,98.04,99.4,1.73,6.7
BLR,98.74,99.5,1.72,7.3
BLR,99.35,99.5,1.59,7.2
BLR,100.0,99.6,1.54,7.8
BLR,100.0,99.6,1.53,8.4
BLR,100.0,99.6,1.48,7.760952380952377
BLR,100.0,100.0,1.52,7.831861471861467
BLR,100.0,100.0,1.5217391304347825,7.902770562770559
BLR,100.0,100.0,1.4956521739130433,7.97367965367965
