id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BLZ,79.0,79.4,2.95,34.3
BLZ,80.23,80.4,3.32,29.4
BLZ,81.04,81.1,3.22,31.0
BLZ,81.84,81.8,2.71,29.9
BLZ,82.65,82.4,2.65,31.8
BLZ,83.47,82.7,2.7,30.8
BLZ,90.99,83.0,2.11,36.6
BLZ,85.17,83.3,2.2,32.1
BLZ,86.05,83.4,2.02,33.8
BLZ,86.94,83.4,2.18,28.9
BLZ,89.92,83.6,1.3,32.7
BLZ,91.68,83.5,1.69,44.2
BLZ,90.92,83.5,1.21,49.9
BLZ,91.13,83.4,1.18,40.8
BLZ,91.47,83.4,1.34,30.9
BLZ,91.8,83.4,1.77,25.0
BLZ,93.26,83.4,1.61,27.7
BLZ,94.15,83.3,1.52,31.8
BLZ,91.72,83.1,1.46,30.0
BLZ,92.72,83.1,1.32,25.1
BLZ,96.81,83.0,2.18,25.9
BLZ,97.69,83.0,2.46,27.1
BLZ,100.0,84.06883116883114,2.39,27.08499594836288
BLZ,100.0,84.18311688311688,1.3651778656126483,27.472014181414725
BLZ,100.0,84.2974025974026,1.3068774703557309,27.85903241446657
