id,sdg7_elecac,sdg7_cleanfuel,sdg7_co2twh,sdg7_renewcon
BOL,69.96,63.2,2.17,20.8
BOL,69.26,64.2,2.21,20.9
BOL,64.0,65.3,2.5,20.8
BOL,72.3,66.3,2.53,20.3
BOL,75.87,67.5,2.44,19.9
BOL,68.29,68.8,2.52,19.3
BOL,76.21,70.1,2.47,19.1
BOL,80.16,71.5,2.34,18.1
BOL,84.68,72.9,2.19,17.7
BOL,86.77,74.3,2.18,17.4
BOL,87.95,75.8,2.21,16.9
BOL,88.34,77.2,2.25,15.6
BOL,90.39,78.6,2.37,15.4
BOL,89.51,80.0,2.27,14.0
BOL,90.04,81.1,2.4,12.8
BOL,91.52,82.4,2.21,12.4
BOL,91.8,83.5,2.29,11.9
BOL,91.8,84.5,2.31,12.7
BOL,92.8,85.6,2.28,12.8
BOL,95.08,86.5,2.22,12.4
BOL,97.22,87.3,1.84,15.3
BOL,98.56,88.3,2.04,11.684414840468573
BOL,97.92251220074903,90.58831168831162,1.87,11.32173451846647
BOL,98.82953022320456,91.84539808018062,2.0729644268774705,10.95905419646437
BOL,99.73654824566005,93.10248447204961,2.056907114624506,10.59637387446227
